task_description,task_category,task_required_skill,employer_id,employer_skill,match
"This t@sk involves testing @ cybersecurity @pp. Skills needed: ENCRYPTION, firew@lls.",Cybersecurity,"ENCRYPTION, firewalls",9aa6a255-7900-5d56-5c00-95efda9afa16,"DOCK3R, ENCRYPTION, sql,  node.Js , REACT",0
"This task involves improving a game development app. Skills needed: Unreal Engine, C#, BL3ND3R.",G@me Development,"Unreal Engine, C#, BL3ND3R",79d4bb1f-a2cd-71bc-cca2-a16b7143eb57,"NODE.JS,   terraform , c++, Unreal Engine, C#",1
"THIS T@SK INVOLVES DESIGNING @ DEVOPS @PP. SKILLS NEEDED: @WS , KUB3RN3T3S,  TERR@FORM.",D3vOps,"aws , kub3rn3t3s,  terraform",20529aff-dac9-83f8-788b-8ad91c41edc0," python , Swift, aws , sql",0
"This task involv3s d3v3loping a gam3 d3v3lopm3nt app. Skills n33d3d: Unr3@l Engin3, Unity, c++.",GAME DEVELOPMENT,"Unre@l Engine, Unity, c++",8043bd59-ad26-b477-5e9d-f485273b3ee1,"DOCKER, Java, Css, re@ct n@tive, r3act",0
"This task involves designing a game development app. Skills needed: C++,  C# .",Game Development,"C++,  C# ",811f1713-6807-3acb-a64e-61cddda27626,"C++, C#, scikit-learn, ENCRYPTION",1
" This t@sk involves testing @ mobile development @pp. Skills needed: r3@ct n@tiv3, J@V@. ",MOBIL3 D3V3LOPM3NT,"r3act nativ3, J@V@",8182f5e4-696c-c476-ad25-8f59621d8b69,"Java, ENCRYPTION, sql,  Flutter  ",0
"This task involves testing a devops app. Skills needed: kubernetes,  TERR@FORM, DOCKER.",D3vOps,"kubernetes,  TERR@FORM, DOCKER",f2e2a453-6d34-6798-beb4-08173281ce54,"c++, sql, docker,  n3tworking ",0
"This t@sk involves designing @ devops @pp. Skills needed:  kubernetes ,  TERRAFORM.", DevOps ," kubernetes ,  TERRAFORM",cb63d2b7-6bb1-14b6-b219-6d0a6d9a6d33," @ws  , CSS, JAVA,  Unreal Engine ",0
" This task involv3s improving a w3b d3v3lopm3nt app. Skills n33d3d: javaScript, r3act. ",Web Development,"javaScript, react",d080661e-84dc-a86e-826a-e754de8b3716,"scikit-le@rn, FIREW@LLS,  aws  , DOCK3R, r3@ct n@tiv3",0
"This task involves developing a cybersecurity app. Skills needed:  PENETRATION TESTING,  SIEM , networking.",Cybersecurity," PENETRATION TESTING,  SIEM , networking",a2d1e161-6ba0-b4cf-9250-8647eb04cd10,"UNITY, javaScript, r3act nativ3",0
"THIS T@SK INVOLVES DESIGNING @ DEVOPS @PP. SKILLS NEEDED: DOCKER, @WS , CI/CD.",D3vOps,"DOCKER, @WS , CI/CD",c90da133-3115-a376-8d92-96ea6ae0da05,"firewalls, j@v@Script,  C# , node.Js",0
"This t@sk involv3s d3signing @ mobil3 d3v3lopm3nt @pp. Skills n33d3d: REACT NATIVE, Swift, J@V@.",MOBILE DEVELOPMENT,"REACT NATIVE, Swift, J@V@",a41f3816-532f-dd6a-5e3c-4f2ef245c9e6,"PYTHON, javaScript, aws ",0
" This task involves testing a data science app. Skills needed: NUMPY,  python , pandas. ",D@t@ Science,"NUMPY,  python , pandas",f67624cb-d5e1-0743-c5be-6e1122d0f843,"NumPy,  PENETR@TION TESTING, Swift,  kubernetes ,  kotlin",0
"THIS TASK INVOLVES TESTING A DEVOPS APP. SKILLS NEEDED: KUB3RN3T3S, DOCKER,  TERR@FORM.",DEVOPS,"kub3rn3t3s, docker,  terr@form",d85857c0-5adc-67e2-3e46-1245d49e264c," javaScript , sql, pandas, react, Unre@l Engine",0
"This task involv3s t3sting a d3vops app. Skills n33d3d: @ws , kub3rn3t3s.",D3vOps,"@ws , kubernetes",09cfad57-b7c0-bcde-8fed-23cf9077c958,"Unity, SIEM,  Flutter  ,  scikit-learn , BL3ND3R",0
" This task involv3s d3signing a w3b d3v3lopm3nt app. Skills n33d3d: javaScript, R3ACT, nod3.Js,  html . ",WEB DEVELOPMENT,"javaScript, R3ACT, node.Js,  html ",0346ead4-1f45-b860-673b-35ea65790ab0,"python, Unreal Engine, NumPy,  kub3rn3t3s ",0
"THIS T@SK INVOLVES TESTING @ WEB DEVELOPMENT @PP. SKILLS NEEDED: J@V@SCRIPT, HTML, CSS, RE@CT.",Web Development,"j@v@Script, HTML, CSS, react",e2b1f388-7aaf-26b7-1ebe-4083d765b3c8,"EncryptioN, re@ct n@tive,  penetration testing, p@nd@s",0
"This t@sk involves designing @ mobile development @pp. Skills needed: RE@CT N@TIVE, Swift, J@v@,  Flutter  .",MOBILE DEVELOPMENT,"RE@CT N@TIVE, Swift, Java,  Flutter  ",c2a4901f-d577-b370-c393-2f5aadd7cf0c,"HTML, c++, @ws , re@ct n@tive,  ENCRYPTION ",0
"This task involv3s d3signing a data sci3nc3 app. Skills n33d3d:  p@nd@s , scikit-l3@rn.",Data Sci3nc3," p@nd@s , scikit-l3@rn",d4bbc149-4b51-bed2-16df-5df6f9ef7b3d,"Unreal Engine,  HTML , PANDAS, EncryptioN, REACT NATIVE",0
"This task involv3s d3v3loping a mobil3 d3v3lopm3nt app. Skills n33d3d: Swift, Flutt3r ,  KOTLIN, JAVA.",Mobile Development,"Swift, Flutter ,  KOTLIN, JAVA",e2892a31-1ac1-21d7-261f-beea4b674145,"Css, aws ,  DOCK3R , node.Js,  SWIFT ",0
"THIS TASK INVOLVES TESTING A CYBERSECURITY APP. SKILLS NEEDED:  FIREW@LLS , N3TWORKING.",Cybersecurity," firew@lls , n3tworking",b673e276-4f00-e436-c299-a2d69983f9dc,"REACT NATIVE,  J@v@ , docker",0
"This t@sk involv3s d3v3loping @ cyb3rs3curity @pp. Skills n33d3d: NETWORKING,  fir3w@lls .",CYBERSECURITY,"NETWORKING,  firew@lls ",e43ed9f0-7bff-6a10-0785-0705e2956520,"react, fir3walls, python",0
"This task involves developing a devops app. Skills needed: DOCKER, KUB3RN3T3S,  t3rr@form.", DevOps ,"DOCKER, KUB3RN3T3S,  t3rr@form",0de1f417-d2b1-c796-e045-e0a88b47841a,"UNREAL ENGINE, UNITY,  JAVA ",0
"This task involves testing a web development app. Skills needed:  JAVASCRIPT , REACT, node.Js.",W3B D3V3LOPM3NT," JAVASCRIPT , REACT, node.Js",37108e72-a32d-3766-09c6-2c841256d8ba,"ENCRYPTION, Flutter ,  p3n3tration t3sting",0
"This task involves developing a web development app. Skills needed: node.Js, javaScript, html, r3@ct.",Web Development,"node.Js, javaScript, html, r3@ct",efb419e4-7175-c65d-c484-3e49abaf65ed,"PYTHON,  kotlin,  firewalls , HTML, sql",0
" This task involves developing a devops app. Skills needed:  KUBERNETES , CI/CD,  t3rraform, AWS . ",DEVOPS," KUBERNETES , CI/CD,  t3rraform, AWS ",d53b2497-3215-7e7b-005d-85b6b291ce0b,"j@v@Script, c++,  SCIKIT-LEARN ,  CI/CD ",0
"This t@sk involves designing @ g@me development @pp. Skills needed: C#,  c++ ,  BLENDER .",G@ME DEVELOPMENT,"C#,  c++ ,  BLENDER ",8d7c41e1-8285-685f-f432-e2412d1dfd42,"fir3walls,  c++ , j@v@Script, r3act nativ3",0
"THIS T@SK INVOLVES DEVELOPING @ G@ME DEVELOPMENT @PP. SKILLS NEEDED: UNR3@L ENGIN3, UNITY.",Game Development,"Unr3al Engin3, UNITY",fb34190a-4942-a481-890a-307a8d4a6517,"CI/CD,  NETWORKING , EncryptioN,  scikit-learn , aws ",0
"This task involves improving a game development app. Skills needed: C#, UNITY.",G@me Development,"C#, UNITY",4ec10fe7-8996-21b7-e32f-1ec4bd11a19b,"@ws , Unreal Engine,  Swift ",0
" THIS T@SK INVOLVES DESIGNING @ MOBILE DEVELOPMENT @PP. SKILLS NEEDED: R3@CT N@TIV3,  KOTLIN, SWIFT, FLUTT3R . ",Mobile Development,"r3act nativ3,  KOTLIN, Swift, FLUTT3R ",6c60b2ac-2878-68f2-9915-cbc51c8452cf," TERRAFORM, c++, C#, docker",0
" This task involv3s t3sting a cyb3rs3curity app. Skills n33d3d:  p3n3tration t3sting, SIEM, ENCRYPTION. ",Cybersecurity," penetration testing, SIEM, ENCRYPTION",4ad4c2a0-209c-37fb-ca97-04cb7e8a00a2," Unr3al Engin3 , Unity, Swift, SIEM",0
"This t@sk involves improving @ web development @pp. Skills needed: CSS, j@v@Script, re@ct, NOD3.JS.", Web Development ,"CSS, j@v@Script, react, NOD3.JS",bef51fca-d1a4-b32f-baf5-56dd0ce06be6,"sql,  kotlin, javaScript, PANDAS, SCIKIT-LEARN",0
" This t@sk involves developing @ d@t@ science @pp. Skills needed: python, NumPy. ",D@t@ Science,"python, NumPy",afe32c0b-a35b-c3d9-9fb1-129d422ae70e,"CI/CD,  terraform, node.Js",0
"This task involv3s t3sting a data sci3nc3 app. Skills n33d3d: python,  SQL ,  PANDAS .", Data Sci3nc3 ,"python,  SQL ,  PANDAS ",9bba3b75-cc31-4aba-84f0-f820dd5afd17,"BLENDER, c++, EncryptioN",0
" This task involves improving a devops app. Skills needed: aws , CI/CD, docker. ",DevOps,"aws , CI/CD, docker",d37fd01b-58fc-4989-fd8a-abd982e6a4fe,"javaScript, python, networking",0
"This t@sk involves testing @ devops @pp. Skills needed:  terr@form, AWS , CI/CD, kubernetes.", D3vOps ," terraform, AWS , CI/CD, kubernetes",8656be75-bf7b-3c46-d652-aa071f950517,"NUMPY,  javaScript , html,  PENETR@TION TESTING, Swift",0
"This task involves developing a web development app. Skills needed: CSS, RE@CT, html.",W3B D3V3LOPM3NT,"CSS, RE@CT, html",c593952f-9c7f-52bb-b4d2-1d651aa59cd9,"NUMPY, PANDAS,  BLENDER , c++, firewalls",0
" This task involves designing a cybersecurity app. Skills needed: SIEM,  penetration testing, EncryptioN. ",Cybersecurity,"SIEM,  penetration testing, EncryptioN",4c040617-46fb-853e-9692-3d0457ea8e6a,"kub3rn3t3s, FIREW@LLS, Swift,  aws  ",0
" This t@sk involves improving @ mobile development @pp. Skills needed:  kotlin, J@v@, REACT NATIVE, FLUTT3R . ",Mobile Development," kotlin, Java, REACT NATIVE, FLUTT3R ",55cc5b5c-8422-b72d-b4a8-59f73f552616," ENCRYPTION , Swift, NODE.JS,  C# , html",0
"THIS TASK INVOLV3S T3STING A D3VOPS APP. SKILLS N33D3D: DOCK3R,  TERRAFORM.",DevOps,"docker,  TERRAFORM",a1ad6f9a-d320-6178-ce3e-9ef14b434132,"  penetration testing , DOCKER, c++",0
"THIS TASK INVOLVES DEVELOPING A CYBERSECURITY APP. SKILLS NEEDED: SIEM, FIR3W@LLS, N3TWORKING.",Cybersecurity,"SIEM, FIR3W@LLS, n3tworking",ed57e475-6be7-5a15-7d27-361829b535c9,"node.Js, Swift,  react native , PYTHON,  kotlin",0
"This task involves designing a cybersecurity app. Skills needed: ENCRYPTION, networking, SIEM.",Cybersecurity,"ENCRYPTION, networking, SIEM",08c69341-cc99-51b3-75b5-1e6f341b8c06,"@ws , c++, SQL, Flutter , UNRE@L ENGINE",0
"This task involves developing a game development app. Skills needed:  UNREAL ENGINE , C#,  blender , UNITY.", Game Development ," UNREAL ENGINE , C#,  blender , UNITY",c928a698-f260-f224-b00f-a62ecc963ac8," EncryptioN ,  CI/CD ,  python ",0
"This task involves designing a cybersecurity app. Skills needed: SIEM,  penetration testing, FIR3WALLS.",CYBERSECURITY,"SIEM,  penetration testing, FIR3WALLS",c20c9c57-8f2c-efe4-3833-dbf8cc067c3f,"dock3r, scikit-learn, P@ND@S, c++, CI/CD",0
"THIS TASK INVOLVES TESTING A WEB DEVELOPMENT APP. SKILLS NEEDED: J@V@SCRIPT,  CSS , RE@CT, NODE.JS.",Web Development,"j@v@Script,  Css , re@ct, node.Js",edb19dc2-d1d0-5047-5ab1-9fcc433465e6," networking , SIEM,  PENETRATION TESTING, scikit-l3arn, sql",0
" This task involves developing a web development app. Skills needed: CSS, HTML, REACT, NOD3.JS. ",W3b D3v3lopm3nt,"CSS, HTML, REACT, NOD3.JS",6d418be0-c6d9-6f7c-3fbb-a6676433081b,"kub3rn3t3s, pandas, C#, N3TWORKING,  DOCKER ",0
"This task involves developing a web development app. Skills needed: REACT, Css.",WEB DEVELOPMENT,"REACT, Css",db0a4b7f-acfc-4488-0a5a-76f39046693f," SWIFT ,  SQL , CSS",0
"This t@sk involves testing @ web development @pp. Skills needed:  j@v@Script , nod3.Js.",Web Development," javaScript , nod3.Js",1e3611e6-ad84-2a8e-181f-0355d412a2f0,"blender, C#,  SCIKIT-LE@RN ",0
"This t@sk involves improving @ web development @pp. Skills needed: NODE.JS, re@ct.",W3b D3v3lopm3nt,"NODE.JS, react",495c2fd7-01f2-8305-8c5c-e6384e0d3736,"Swift,  KOTLIN, Flutter ",0
"This t@sk involv3s improving @ d@t@ sci3nc3 @pp. Skills n33d3d: PYTHON,  sql ,  NUMPY , p@nd@s.",Data Science,"PYTHON,  sql ,  NUMPY , pandas",f6362084-4d34-42c9-5487-a858276c3a16,"Css, node.Js,  kotlin,  r3@ct n@tiv3 ",0
" This task involves designing a game development app. Skills needed: c++, UNREAL ENGINE, UNITY. ",GAME DEVELOPMENT,"c++, UNREAL ENGINE, UNITY",15f5104a-fd8f-e5e8-a85c-941e5ac514f5," Unity , FIREW@LLS, SQL, scikit-learn",0
"This task involves improving a web development app. Skills needed: html, node.Js.", Web Development ,"html, node.Js",82328414-5596-55ba-dfe4-b888484cd4da,"JAVASCRIPT, CI/CD, pandas, firewalls,  NOD3.JS ",0
"This task involv3s improving a d3vops app. Skills n33d3d: CI/CD,  t3rr@form, kub3rn3t3s.",D3vOps,"CI/CD,  terr@form, kubernetes",dbad99f9-6aab-b260-46b3-470672c0b802,"SIEM,  CI/CD , Css, C#, c++",0
"THIS TASK INVOLVES DEVELOPING A DEVOPS APP. SKILLS NEEDED: DOCK3R,  CI/CD , KUBERNETES.", D3vOps ,"dock3r,  CI/CD , KUBERNETES",12fe2fd3-5c77-ea77-5dfc-923452a138ac," KOTLIN, re@ct, R3ACT NATIV3, FLUTTER , C++",0
"This task involves developing a cybersecurity app. Skills needed:  EncryptioN , SIEM, firew@lls.",Cyb3rs3curity," EncryptioN , SIEM, firew@lls",8d54fc4a-9a33-8d75-f0fa-195825758faf,"Css, SQL, Unr3al Engin3,  Java ,  EncryptioN ",0
"This task involves designing a web development app. Skills needed:  CSS , R3ACT, javaScript, nod3.Js.",Web Development," CSS , R3ACT, javaScript, nod3.Js",f3483204-b073-9a94-47ed-bf5c684a12b4,"re@ct n@tive, firewalls,  Unreal Engine , blender,  SIEM ",0
" This task involves developing a devops app. Skills needed:  TERRAFORM, docker, @ws . ",DevOps," TERRAFORM, docker, @ws ",ea3c2d69-e86c-e935-7e51-8ab91b596796,"SCIKIT-LEARN, react,  Css ",0
"This task involves improving a devops app. Skills needed: CI/CD,  AWS  .",DevOps,"CI/CD,  AWS  ",70813257-1b0e-22e3-7336-7cfe8914f0c3,"python, scikit-l3@rn, CI/CD, SWIFT",0
"This task involv3s improving a mobil3 d3v3lopm3nt app. Skills n33d3d: Swift, Flutt3r ,   KOTLIN , Java.",Mobil3 D3v3lopm3nt,"Swift, Flutter ,   KOTLIN , Java",3e196d82-4d8a-37ac-05af-2a818287eba1,"EncryptioN,  KOTLIN, scikit-learn, BLENDER",0
" This task involves improving a game development app. Skills needed: Unity, bl3nd3r. ",GAME DEVELOPMENT,"Unity, bl3nd3r",7681d177-2fd0-0f42-2586-60a882f9fa11,"docker, C#, NumPy, pandas, EncryptioN",0
"THIS TASK INVOLVES IMPROVING A CYBERSECURITY APP. SKILLS NEEDED:  N3TWORKING ,  PENETRATION TESTING.",Cybersecurity," n3tworking ,  penetration testing",9aea07d3-d404-6bcc-9305-9c6e82580526,"aws , p@nd@s, Flutter , sql",0
"THIS T@SK INVOLVES DEVELOPING @ WEB DEVELOPMENT @PP. SKILLS NEEDED: HTML, CSS, RE@CT.",Web Development,"html, CSS, react",a04f9017-0729-4be1-2e2d-3d9df738799c,"NOD3.JS, CI/CD,  KOTLIN, kub3rn3t3s",0
"THIS TASK INVOLV3S T3STING A GAM3 D3V3LOPM3NT APP. SKILLS N33D3D: UNREAL ENGINE, C#, UNITY.",Gam3 D3v3lopm3nt,"UNREAL ENGINE, C#, Unity",844791ce-7238-b531-eea0-3ea9eaa7357d,"Unr3al Engin3, FIREWALLS, FLUTTER ,  JAVASCRIPT ,  c++ ",0
"This t@sk involves developing @ web development @pp. Skills needed: node.Js, re@ct, Css, j@v@Script.", W3b D3v3lopm3nt ,"node.Js, react, Css, javaScript",cd3bd7ab-fb07-11b6-9140-7e0cc1af607a," KOTLIN, react,  node.Js , C#",1
"THIS TASK INVOLVES TESTING A MOBILE DEVELOPMENT APP. SKILLS NEEDED: SWIFT, JAVA.", Mobile Development ,"Swift, JAVA",da208c99-7ad3-7635-9c40-9a1aeff4f148," CI/CD ,  terraform,  docker ",0
"This task involv3s d3signing a d3vops app. Skills n33d3d: DOCKER,  t3rr@form,  aws  .",DevOps,"DOCKER,  terr@form,  aws  ",ad8c29b0-9873-5ede-0368-5d6bc7b89c61,"kub3rn3t3s, c++, CI/CD, SIEM, Flutter ",0
"THIS TASK INVOLVES TESTING A WEB DEVELOPMENT APP. SKILLS NEEDED: RE@CT, NODE.JS.", Web Development ,"re@ct, NODE.JS",dd1da5eb-6293-db89-00e3-8d4dea2a70ed,"NumPy, J@v@, Css, firewalls",0
"THIS TASK INVOLV3S D3SIGNING A W3B D3V3LOPM3NT APP. SKILLS N33D3D: HTML,  CSS , NOD3.JS.",Web Development,"html,  Css , node.Js",a4aa0759-0c33-d8ec-8462-dc0fd1c89309,"Unity, blender,   terr@form , NUMPY",0
" This task involves developing a game development app. Skills needed: blender, C++, Unity. ",G@m3 D3v3lopm3nt,"blender, C++, Unity",3592f47a-9a2e-bf52-3f52-183248eafa03," terr@form, Unity, sql, kubernetes,  Swift ",0
"This task involves testing a data science app. Skills needed: scikit-learn, NUMPY.",D@T@ SCI3NC3,"scikit-learn, NUMPY",4364578d-2a12-210b-ef33-2f442154123e," docker , JAVASCRIPT,  BL3ND3R ",0
"This task involv3s t3sting a w3b d3v3lopm3nt app. Skills n33d3d: Css, html, nod3.Js.",W3b D3v3lopm3nt,"Css, html, node.Js",99d05d16-6084-c18e-d12a-689a3379bc5f," nod3.Js ,  Css , firew@lls, PANDAS",1
"This task involves improving a devops app. Skills needed: CI/CD, aws , dock3r.",DevOps,"CI/CD, aws , dock3r",42116713-d4a3-032c-509e-78bc7b35b843,"Unity, html,  pandas ",0
"This task involves designing a web development app. Skills needed:  html ,  node.Js , j@v@Script.",Web Development," html ,  node.Js , j@v@Script",75534618-f5bd-0463-7804-a2d9502fe670,"NumPy, C++, firew@lls",0
" THIS TASK INVOLV3S D3SIGNING A W3B D3V3LOPM3NT APP. SKILLS N33D3D: R3ACT, CSS,  NOD3.JS . ",Web Development,"react, Css,  nod3.Js ",dc1515d0-02f6-d24d-4159-6158cb463142,"NumPy, python,   TERRAFORM ",0
"This task involv3s d3signing a data sci3nc3 app. Skills n33d3d: NUMPY,  sql , pandas.", Data Science ,"NUMPY,  sql , pandas",da804369-4e95-b465-e2b1-fb2d50af9c65,"docker, pandas,  n3tworking , SQL",1
" This task involv3s d3signing a d3vops app. Skills n33d3d:  t3rr@form, @ws , CI/CD. ",DevOps," t3rr@form, @ws , CI/CD",091976cc-9a47-3d0c-a581-e71823e2f2d0," kubernetes , Swift, react native, node.Js",0
"THIS TASK INVOLV3S D3V3LOPING A MOBIL3 D3V3LOPM3NT APP. SKILLS N33D3D:  KOTLIN, SWIFT.",MOBILE DEVELOPMENT," kotlin, SWIFT",12c4f2d8-ae04-88c6-bfd3-4cfa1846d496,"C#, PYTHON, SIEM",0
"THIS T@SK INVOLVES IMPROVING @ DEVOPS @PP. SKILLS NEEDED: CI/CD,  DOCKER , AWS .",D3vOps,"CI/CD,  docker , AWS ",aa71a6fc-f3ff-2af1-3875-93b6854f95e9,"networking, Flutt3r , html, sql,  TERRAFORM",0
"THIS TASK INVOLVES IMPROVING A DATA SCIENCE APP. SKILLS NEEDED:  PYTHON , SQL.",D@t@ Science," python , sql",0ebf2701-a532-3057-9582-b736c236a188,"J@v@,   kotlin ,  DOCK3R ",0
"This task involv3s d3v3loping a cyb3rs3curity app. Skills n33d3d:  fir3walls , EncryptioN,  n3tworking .",Cybersecurity," firewalls , EncryptioN,  n3tworking ",e6ff311c-fde3-aa04-b61d-2fad806b592b,"EncryptioN, PYTHON,  SIEM ",0
"THIS TASK INVOLVES IMPROVING A GAME DEVELOPMENT APP. SKILLS NEEDED:  BLENDER , UNR3AL ENGIN3,  C# .",Game Development," blender , Unr3al Engin3,  C# ",6025b0ea-755e-4c73-17a5-fd5ac41f4714," EncryptioN , Unity, Css,  SWIFT ",0
"This task involves testing a devops app. Skills needed: docker, CI/CD.",DevOps,"docker, CI/CD",ffc3addf-c859-9bcd-ab5b-134308873719,"javaScript, dock3r,  Unr3al Engin3 ",0
"THIS TASK INVOLV3S IMPROVING A CYB3RS3CURITY APP. SKILLS N33D3D:  FIR3W@LLS , NETWORKING,  P3N3TR@TION T3STING, SIEM.", CYB3RS3CURITY ," firew@lls , NETWORKING,  penetr@tion testing, SIEM",b991a847-738a-f29c-94ee-f558aff39130,"BL3ND3R, node.Js, HTML, CI/CD, scikit-learn",0
"This task involv3s t3sting a mobil3 d3v3lopm3nt app. Skills n33d3d: Flutt3r , SWIFT, REACT NATIVE.",MOBILE DEVELOPMENT,"Flutter , SWIFT, REACT NATIVE",b40b309d-e21a-495e-d341-7b3c16a93586,"FIREWALLS, PYTHON,  p@nd@s ",0
"This task involves developing a game development app. Skills needed: BLENDER,  Unity , C#, c++.",Game Development,"BLENDER,  Unity , C#, c++",0d0e050b-d287-c5d2-6b40-208a242cc8cc,"Flutter , fir3walls, pandas, Swift",0
"THIS T@SK INVOLVES IMPROVING @ CYBERSECURITY @PP. SKILLS NEEDED: N3TWORKING, SIEM, FIREWALLS.",Cyb3rs3curity,"n3tworking, SIEM, FIREWALLS",fefb410b-bc2b-3ae1-574e-ccd5bb0bdba9," CSS ,  aws  , networking",0
"THIS T@SK INVOLVES DEVELOPING @ CYBERSECURITY @PP. SKILLS NEEDED:  SIEM , ENCRYPTION,  FIREW@LLS ,  PENETR@TION TESTING.",CYBERSECURITY," SIEM , EncryptioN,  firewalls ,  penetration testing",fa4e81de-e557-12a7-3221-8ba02f2fb45a,"Unr3al Engin3, c++, SIEM",0
"This task involves improving a web development app. Skills needed: CSS, re@ct.",WEB DEVELOPMENT,"CSS, re@ct",345a7bbd-7af8-5e6d-49ca-d9cd6e454a1e,"EncryptioN, kubernetes, SCIKIT-L3@RN, firewalls",0
"This task involves developing a data science app. Skills needed: python, NUMPY.",DATA SCIENCE,"python, NUMPY",971daebb-2421-7b88-6693-620409c10573,"Css, firew@lls,  BLENDER , EncryptioN",0
"This task involv3s improving a d3vops app. Skills n33d3d:   t3rr@form , aws , CI/CD.",DevOps,"  terr@form , aws , CI/CD",5a42872a-3ca0-49be-bb48-721c4b58f665,"NETWORKING,  terr@form, C#,  python ",0
"This task involves designing a web development app. Skills needed: Css, html,  NODE.JS .",WEB DEVELOPMENT,"Css, html,  NODE.JS ",1a5e74b4-1807-27e4-a495-37d345a322eb,"FIREW@LLS, scikit-l3arn, react native,  Flutter  , networking",0
"This t@sk involves testing @ d@t@ science @pp. Skills needed:  sql , scikit-l3@rn, python, p@nd@s.",DATA SCIENCE," sql , scikit-l3arn, python, pandas",ee5009dd-30ce-2757-3dd5-c2baf6df6114," SIEM ,  terraform,  @WS  ",0
"This task involves testing a web development app. Skills needed: javaScript, Css.",Web Development,"javaScript, Css",d66c98a3-9cda-51af-df97-faeae1bd5f64,"J@v@, python,  Unreal Engine , aws ",0
"This task involv3s d3signing a w3b d3v3lopm3nt app. Skills n33d3d: html, r3@ct,  NODE.JS , j@v@Script.",WEB DEVELOPMENT,"html, r3@ct,  NODE.JS , j@v@Script",d0e73015-7e22-4b29-929d-57e6d1fb0773," terraform, BLENDER, sql",0
"This task involves developing a mobile development app. Skills needed: Flutter ,   KOTLIN .", Mobile Development ,"Flutter ,   KOTLIN ",ad80072c-982d-0589-97f3-c377081aeac4," kotlin, bl3nd3r, kubernetes, j@v@Script",0
"This task involves improving a data science app. Skills needed: scikit-le@rn, python, NumPy.", D@t@ Sci3nc3 ,"scikit-le@rn, python, NumPy",d7f79644-2cd4-7ceb-df97-82d1cdea7041," SIEM , kub3rn3t3s,  t3rraform, CSS",0
" THIS TASK INVOLVES DEVELOPING A CYBERSECURITY APP. SKILLS NEEDED:  SIEM , FIREW@LLS, NETWORKING, ENCRYPTION. ",Cybersecurity," SIEM , FIREW@LLS, NETWORKING, EncryptioN",808eca8b-8df4-dcae-52ce-de196b2c42d6,"react, Css, HTML, EncryptioN",0
